Complexity metrics,Sat, 27 Aug 2022 20:16:33 NZST
Method,CogC,ev(G),iv(G),v(G)
ConfigManager.getConfigProperty(String),1,1,2,2
ConfigManagerTest.checkConfigProperty(),0,1,1,1
ConfigManagerTest.getConfigProperty(),0,1,1,1
EditorManager.EditorManager(JTextComponent),0,1,1,1
EditorManager.addDateAndTime(),0,1,1,1
EditorManager.delete(),0,1,1,1
EditorManagerTest.addDateAndTime(),0,1,1,1
EditorManagerTest.delete(),0,1,1,1
FileManager.FileManager(JTextComponent),0,1,1,1
FileManager.TextAreaListener.changedUpdate(DocumentEvent),0,1,1,1
FileManager.TextAreaListener.insertUpdate(DocumentEvent),0,1,1,1
FileManager.TextAreaListener.removeUpdate(DocumentEvent),0,1,1,1
FileManager.WindowCloseListener.WindowCloseListener(JFrame),0,1,1,1
FileManager.WindowCloseListener.windowActivated(WindowEvent),0,1,1,1
FileManager.WindowCloseListener.windowClosed(WindowEvent),0,1,1,1
FileManager.WindowCloseListener.windowClosing(WindowEvent),1,1,2,2
FileManager.WindowCloseListener.windowDeactivated(WindowEvent),0,1,1,1
FileManager.WindowCloseListener.windowDeiconified(WindowEvent),0,1,1,1
FileManager.WindowCloseListener.windowIconified(WindowEvent),0,1,1,1
FileManager.WindowCloseListener.windowOpened(WindowEvent),0,1,1,1
FileManager.changeSavedSate(Boolean),3,1,3,3
FileManager.getCurrentFilePath(),0,1,1,1
FileManager.getIsSaved(),0,1,1,1
FileManager.getTextAreaListener(),0,1,1,1
FileManager.newFile(),1,2,1,2
FileManager.open(),0,1,1,1
FileManager.open(Boolean),10,4,5,9
FileManager.openCurrent(),0,1,1,1
FileManager.print(),1,1,2,2
FileManager.save(),0,1,1,1
FileManager.save(Boolean),9,3,4,7
FileManager.saveAs(),0,1,1,1
FileManager.saveWarning(),3,2,2,4
FileManager.setCurrentFilePath(String),0,1,1,1
FileManager.setFrame(),0,1,1,1
FileManager.setTitle(String),0,1,1,1
FileManagerTest.changeSavedState(),1,1,2,2
FileManagerTest.newFile(),0,1,1,1
FileManagerTest.open(),1,1,2,2
FileManagerTest.save(),1,1,2,2
FileManagerTest.setTitle(),1,1,2,2
MainGuiClass.MainGuiClass(),4,3,4,4
SearchBoxManager.SearchBoxManager(JTextComponent),0,1,1,1
SearchBoxManager.actionPerformed(ActionEvent),0,1,1,1
SearchBoxManager.changedUpdate(DocumentEvent),0,1,1,1
SearchBoxManager.insertUpdate(DocumentEvent),0,1,1,1
SearchBoxManager.keepSearching(),2,1,3,3
SearchBoxManager.removeUpdate(DocumentEvent),0,1,1,1
SearchBoxManager.startSearch(Document),1,1,2,2
SearchBoxManagerTest.keepSearching(),0,1,1,1
SearchBoxManagerTest.startSearch(),0,1,1,1
TextEditorRunner.main(String[]),0,1,1,1

Class,OCavg,OCmax,WMC
ConfigManager,1.00,1,1
ConfigManagerTest,1.00,1,2
EditorManager,1.00,1,3
EditorManagerTest,1.00,1,2
FileManager,2.18,5,37
FileManager.TextAreaListener,1.00,1,3
FileManager.WindowCloseListener,1.12,2,9
FileManagerTest,1.00,1,5
MainGuiClass,3.00,3,3
SearchBoxManager,1.14,2,8
SearchBoxManagerTest,1.00,1,2
TextEditorRunner,1.00,1,1

Package,v(G)avg,v(G)tot
,1.63,85

Module,v(G)avg,v(G)tot
251-Assignment1-2022-Anesu-James,1.63,85

Project,v(G)avg,v(G)tot
project,1.63,85

